Jeep Renegade Turbo Flex 2023 Zero Km IPVA 2023 Pago Urgente;R$ 148.000;https://sp.olx.com.br/regiao-de-sorocaba/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-turbo-flex-2023-zero-km-ipva-2023-pago-urgente-1117377104
JEEP COMPASS 2.0 16V Limited 4X4;R$ 196.900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2-0-16v-limited-4x4-1112365853
JEEP COMPASS 1.3 T270 Turbo Sport;R$ 155.500;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-1-3-t270-turbo-sport-1172554451
Jeep Compass 2.0 Longitude AT Flex;R$ 110.890;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2-0-longitude-at-flex-1162726658
Jeep Renegade Longitude 1.8 Flex;R$ 75.900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-longitude-1-8-flex-1154183676
JEEP RENEGADE STD 1.8 4X2 FLEX 16V AUT;R$ 90.000;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-std-1-8-4x2-flex-16v-aut-1157001974
Jeep Renegade sport financio e troco;R$ 77.990;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-sport-financio-e-troco-1164887415
JEEP RENEGADE 1.8 16V FLEX SPORT 4P AUTOMÁTICO;R$ 86.990;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-1-8-16v-flex-sport-4p-automatico-1167307908
JEEP COMPASS 2.0 TD350 TURBO TRAILHAWK;R$ 196.900;https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2-0-td350-turbo-trailhawk-1171142896
JEEP RENEGADE 2.0 16V Turbo Trailhawk 4X4;R$ 148.990;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-2-0-16v-turbo-trailhawk-4x4-1166644334
Jeep Compass 1.3 T270 Turbo Longitude 80 Anos;R$ 172.500;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-1-3-t270-turbo-longitude-80-anos-1156950745
JEEP COMPASS 2.0 16V Longitude 4X4;R$ 169.900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2-0-16v-longitude-4x4-1164593306
Jeep Renegade - Diesel - 4x4 - Teto Solar;R$ 96.500;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-diesel-4x4-teto-solar-1172731828
JEEP COMPASS 2.0 16V LONGITUDE 4X4;R$ 135.900;https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2-0-16v-longitude-4x4-1128427602
Jeep Compass 2.0 16v Longitude;R$ 113.900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2-0-16v-longitude-1120269990
JEEP RENEGADE 1.8 16V FLEX 4P AUTOMÁTICO;R$ 90.990;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-1-8-16v-flex-4p-automatico-1168334027
JEEP COMPASS 2.0 16V FLEX LONGITUDE AUTOMÁTICO;R$ 104.990;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2-0-16v-flex-longitude-automatico-1167308650
Jeep Renegade 1.8 Automático;R$ 87.900;https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-1-8-automatico-1153215022
Jeep Compass 2.0 Flex Longitude;R$ 134.900;https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2-0-flex-longitude-1171453793
JEEP RENEGADE 1.3 T270 Turbo S 4X4;R$ 158.900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-1-3-t270-turbo-s-4x4-1166920843
Jeep Renegade 1.8 Longitude Flex;R$ 98.900;https://sp.olx.com.br/baixada-santista-e-litoral-sul/autos-e-pecas/carros-vans-e-utilitarios/jeep-renegade-1-8-longitude-flex-1133059123
